UID,DBType,Instance,DBName,Schema,Table,Column,ColumnType
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Vista,ClientPerfAggregationAppTimeBreakdown_AEA9402CCF594F90B23A8622C12AC14D,AppName,nvarchar(256)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Vista,ClientPerfAggregationAppTimeBreakdown_AEA9402CCF594F90B23A8622C12AC14D,EventDataRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2010,vMachineRoles,ManagedEntityRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2010,vMachineRoles,TopLevelHostManagedEntityRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2010,vMachineRoles,ManagedEntityTypeRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2010,vMachineRoles,ManagedEntityTypeDefaultName,nvarchar(256)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2010,vMachineRoles,ActiveDirectorySite,nvarchar(max)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_3250BC29CD93444E85C6C94817244E28,StateHourlyRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_3250BC29CD93444E85C6C94817244E28,DateTime,datetime
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_3250BC29CD93444E85C6C94817244E28,ManagedEntityMonitorRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_3250BC29CD93444E85C6C94817244E28,InRedStateMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_3250BC29CD93444E85C6C94817244E28,InYellowStateMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_3250BC29CD93444E85C6C94817244E28,InDisabledStateMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_3250BC29CD93444E85C6C94817244E28,InPlannedMaintenanceMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_3250BC29CD93444E85C6C94817244E28,InUnplannedMaintenanceMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_3250BC29CD93444E85C6C94817244E28,HealthServiceUnavailableMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_3250BC29CD93444E85C6C94817244E28,IntervalEndHealthState,tinyint
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_C599E778EE4446CEB6E054A72165986B,StateHourlyRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_C599E778EE4446CEB6E054A72165986B,DateTime,datetime
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_C599E778EE4446CEB6E054A72165986B,ManagedEntityMonitorRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_C599E778EE4446CEB6E054A72165986B,InRedStateMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_C599E778EE4446CEB6E054A72165986B,InYellowStateMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_C599E778EE4446CEB6E054A72165986B,InDisabledStateMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_C599E778EE4446CEB6E054A72165986B,InPlannedMaintenanceMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_C599E778EE4446CEB6E054A72165986B,InUnplannedMaintenanceMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_C599E778EE4446CEB6E054A72165986B,HealthServiceUnavailableMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_C599E778EE4446CEB6E054A72165986B,IntervalEndHealthState,tinyint
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2010,CapacityMaxmimums,ObjectName,nvarchar(100)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2010,CapacityMaxmimums,CounterName,nvarchar(100)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2010,CapacityMaxmimums,InstanceName,nvarchar(100)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2010,CapacityMaxmimums,Role,nvarchar(100)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2010,CapacityMaxmimums,CapacityMaximum,float
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2010,CapacityMaxmimums,Scaling,float
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2010,CapacityMaxmimums,Offset,float
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2010,CapacityMaxmimums,Type,smallint
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2013,vMailboxDatabaseBackupInfo,MailboxDatabaseBackupInfoRowId,bigint
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2013,vMailboxDatabaseBackupInfo,MailboxDatabaseBackupInfoGuid,uniqueidentifier
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2013,vMailboxDatabaseBackupInfo,DWCreatedDateTime,datetime
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2013,vMailboxDatabaseBackupInfo,DateTime,datetime
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2013,vMailboxDatabaseBackupInfo,MailboxDatabaseRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2013,vMailboxDatabaseBackupInfo,ServerManagedEntityRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2013,vMailboxDatabaseBackupInfo,LastFullBackup,datetime
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2013,vMailboxDatabaseBackupInfo,LastIncrementalBackup,datetime
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2013,vMailboxDatabaseBackupInfo,LastDifferentialBackup,datetime
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2013,vMailboxDatabaseBackupInfo,LastCopyBackup,datetime
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateDaily_971AD515AAF24424B0E7ABD25CF77289,StateDailyRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateDaily_971AD515AAF24424B0E7ABD25CF77289,DateTime,datetime
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateDaily_971AD515AAF24424B0E7ABD25CF77289,ManagedEntityMonitorRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateDaily_971AD515AAF24424B0E7ABD25CF77289,InRedStateMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateDaily_971AD515AAF24424B0E7ABD25CF77289,InYellowStateMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateDaily_971AD515AAF24424B0E7ABD25CF77289,InDisabledStateMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateDaily_971AD515AAF24424B0E7ABD25CF77289,InPlannedMaintenanceMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateDaily_971AD515AAF24424B0E7ABD25CF77289,InUnplannedMaintenanceMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateDaily_971AD515AAF24424B0E7ABD25CF77289,HealthServiceUnavailableMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateDaily_971AD515AAF24424B0E7ABD25CF77289,IntervalEndHealthState,tinyint
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_6ECFF19DBEEF40458A75E6164AAA25C1,StateHourlyRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_6ECFF19DBEEF40458A75E6164AAA25C1,DateTime,datetime
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_6ECFF19DBEEF40458A75E6164AAA25C1,ManagedEntityMonitorRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_6ECFF19DBEEF40458A75E6164AAA25C1,InRedStateMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_6ECFF19DBEEF40458A75E6164AAA25C1,InYellowStateMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_6ECFF19DBEEF40458A75E6164AAA25C1,InDisabledStateMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_6ECFF19DBEEF40458A75E6164AAA25C1,InPlannedMaintenanceMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_6ECFF19DBEEF40458A75E6164AAA25C1,InUnplannedMaintenanceMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_6ECFF19DBEEF40458A75E6164AAA25C1,HealthServiceUnavailableMilliseconds,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_6ECFF19DBEEF40458A75E6164AAA25C1,IntervalEndHealthState,tinyint
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Win7,Win7ClientPerfAggregationAppTimeBreakdown_C67092E49E284E0E954B46A24A90D543,Win7ClientPerfAggregationAppTimeBreakdownRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Win7,Win7ClientPerfAggregationAppTimeBreakdown_C67092E49E284E0E954B46A24A90D543,DateTime,datetime
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Win7,Win7ClientPerfAggregationAppTimeBreakdown_C67092E49E284E0E954B46A24A90D543,NumEvents,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Win7,Win7ClientPerfAggregationAppTimeBreakdown_C67092E49E284E0E954B46A24A90D543,AvgTime,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Win7,Win7ClientPerfAggregationAppTimeBreakdown_C67092E49E284E0E954B46A24A90D543,AppName,nvarchar(256)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Win7,Win7ClientPerfAggregationAppTimeBreakdown_C67092E49E284E0E954B46A24A90D543,EventDataRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Perf,PerfDaily_9C5B811B8B6046DC8B20F48E9E4D19B2,PerfDailyRowId,bigint
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Perf,PerfDaily_9C5B811B8B6046DC8B20F48E9E4D19B2,DateTime,datetime
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Perf,PerfDaily_9C5B811B8B6046DC8B20F48E9E4D19B2,PerformanceRuleInstanceRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Perf,PerfDaily_9C5B811B8B6046DC8B20F48E9E4D19B2,ManagedEntityRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Perf,PerfDaily_9C5B811B8B6046DC8B20F48E9E4D19B2,SampleCount,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Perf,PerfDaily_9C5B811B8B6046DC8B20F48E9E4D19B2,AverageValue,float
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Perf,PerfDaily_9C5B811B8B6046DC8B20F48E9E4D19B2,MinValue,float
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Perf,PerfDaily_9C5B811B8B6046DC8B20F48E9E4D19B2,MaxValue,float
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Perf,PerfDaily_9C5B811B8B6046DC8B20F48E9E4D19B2,StandardDeviation,float
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,ProcessMonitoring,vProcessMetricFactsRaw,DateKey,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,ProcessMonitoring,vProcessMetricFactsRaw,TimeKey,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,ProcessMonitoring,vProcessMetricFactsRaw,ComputerRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,ProcessMonitoring,vProcessMetricFactsRaw,ProcessRowID,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,ProcessMonitoring,vProcessMetricFactsRaw,ProcessCmdRowID,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,ProcessMonitoring,vProcessMetricFactsRaw,UserRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,ProcessMonitoring,vProcessMetricFactsRaw,PID,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,ProcessMonitoring,vProcessMetricFactsRaw,CpuUsage,float
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,ProcessMonitoring,vProcessMetricFactsRaw,MemoryUsage,float
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,ProcessMonitoring,vProcessMetricFactsRaw,HandleCount,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,ProcessMonitoring,vProcessMetricFactsRaw,ThreadCount,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,ProcessMonitoring,vProcessMetricFactsRaw,PageFaultCount,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,ProcessMonitoring,vProcessMetricFactsRaw,CpuTime,bigint
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,ProcessMonitoring,vProcessMetricFactsRaw,TotalProcessTime,bigint
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,ProcessMonitoring,vProcessMetricFactsRaw,IOReadPerSecond,float
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,ProcessMonitoring,vProcessMetricFactsRaw,IOWritePerSecond,float
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,ProcessMonitoring,vProcessMetricFactsRaw,DateTime,datetime
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,DatasetId,uniqueidentifier
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,ManagementGroupGuid,uniqueidentifier
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,AlertGuid,uniqueidentifier
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,AlertProblemGuid,uniqueidentifier
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,ManagedEntityGuid,uniqueidentifier
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,AlertName,nvarchar(256)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,AlertDescription,nvarchar(max)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,Severity,tinyint
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,Priority,tinyint
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,Category,nvarchar(256)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,MonitorAlertInd,bit
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,WorkflowGuid,uniqueidentifier
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,RaisedDateTime,datetime
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,CreatedDateTime,datetime
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,ResolutionState,tinyint
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,Owner,nvarchar(256)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,TicketId,nvarchar(256)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,CustomField1,nvarchar(256)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,CustomField2,nvarchar(256)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,CustomField3,nvarchar(256)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,CustomField4,nvarchar(256)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,CustomField5,nvarchar(256)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,CustomField6,nvarchar(256)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,CustomField7,nvarchar(256)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,CustomField8,nvarchar(256)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,CustomField9,nvarchar(256)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,CustomField10,nvarchar(256)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,SiteName,nvarchar(256)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,AlertParams,xml(max)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,ParameterHash,uniqueidentifier
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,RepeatCount,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,AlertStringGuid,uniqueidentifier
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,DBLastModifiedDateTime,datetime
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,DBLastModifiedByUserId,nvarchar(256)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,AlertStageRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,AlertRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,TableGuid,uniqueidentifier
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,ManagedEntityRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,WorkflowRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,DWCreatedDateTime,datetime
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,TfsWorkItemId,nvarchar(256)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Alert,AlertStage2Process,TfsWorkItemOwner,nvarchar(256)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Vista,vClientPerfAggregationComputer,DateTime,datetime
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Vista,vClientPerfAggregationComputer,ClientPerfAggregationComputerRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Vista,vClientPerfAggregationComputer,ComputerDataRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Vista,vClientPerfAggregationComputer,EventDataRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Vista,vClientPerfAggregationComputer,NumEvents,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Vista,vClientPerfAggregationComputer,AvgTime,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2010,vMachineThresholds,DisplayName,nvarchar(max)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2010,vMachineThresholds,ManagedEntityRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2010,vMachineThresholds,TopLevelHostManagedEntityRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2010,vMachineThresholds,PropertyName,nvarchar(256)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2010,vMachineThresholds,PropertyValue,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2010,vMachineThresholds,ActiveDirectorySite,nvarchar(max)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2010,vMachineThresholds,ManagedEntityTypeDefaultName,nvarchar(256)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2010,vMachineThresholds,ObjectName,varchar(19)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2010,vMachineThresholds,CounterName,varchar(33)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,Exchange2010,vMachineThresholds,InstanceName,varchar(17)
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_D29B09E6148A43E2B8BD7C0FE93D8761,StateHourlyRowId,int
30230,MSSQL,R0015702\RCHSCOMP02,OperationsManagerDW,State,StateHourly_D29B09E6148A43E2B8BD7C0FE93D8761,DateTime,datetime
